user,staked,unstaked,total,factor
0x22927ed4d5b22e98e5c4df4d9bc6493fdf64780c,3,0,3,100
0x22938eb668313a6132345c947dd816be6c2e50d5,2,0,2,100
0x22a4954445046a65fd7054e598f2feb6ed54a618,1,0,1,100
0x22bc52bf65b56e62e88f0ce08ef17b70f1043c81,1,0,1,100
0x22ca086cc77f6a4f1802f4a1efc73a44f995259f,1,0,1,100
0x22ca9cdb3d1451f39abdf3478f1c3ba11b73f075,8,0,8,100
0x230091867144699da607e5005b336ab09f923c3f,6,0,6,100
0x234a14fddcc2e533156b5a636db9a071d54e9baf,0,0,0,0
0x23836295fd3818e0267d50c8fdf089415d899330,1,0,1,100
0x23be90335e79d3245615985d91f69814f98a0fab,3,0,3,100
0x23f8b988d70d71bb1d3354d6511ced807cde0724,2,0,2,100
0x243c9dc0f20e617326ab5ae34adec887324af05e,1,0,1,100
0x2463f262d42b0e17d265975ec7662c64cd6d6a95,7,2,9,77
0x247ff96720ec1406f67543831e7ece60f4a1a894,6,0,6,100
0x256b4e3cc7d0fa1b33886b418b1f39d245465a51,2,0,2,100
0x258cf235c6a45e540e7ab8512904027ff73ba63a,13,0,13,100
0x259296a67a9db680edc0ce546a543549a0578947,3,0,3,100
0x2597ac3b5529d125427052a42462b0239b2918c8,1,0,1,100
0x259ab78448d174079b23e656a03f9a3b692d4bf3,5,0,5,100
0x25bc7415f7311ac58213cf6faf59aa805442c0cb,2,0,2,100
0x25bfe04bd8cbdae8104d8fc441b593460c961457,1,0,1,100
0x25c2312fba5289bae256570ecd35c979e9ed4961,3,0,3,100
0x2624ee32fcc1ea3f33243a4cb6182fbd02ea4b95,13,1,14,92
0x2671f4197305d8504bdc40686791ec06d9df75a6,1,0,1,100
0x26b0a325db38f6b635d931ccac4a641fd83fb798,3,0,3,100
0x26bd1a2d21d1d0f796067e751bd9145bd3bd40d3,9,0,9,100
0x26ca678c73660853c8e50b26df43a25b9527f4fd,1,0,1,100
0x26caee14b8b92094d485bf1de87db26ee4a21799,15,0,15,100
0x26fc65a295c536699adf66ed68d49fc7a7a14d14,3,0,3,100
0x272d68e81fcc43172924f0c9e0b4e2959e9bc8fa,4,0,4,100
0x274ce578e9f564636a37a16c76a6d2b3f0526af7,1,0,1,100
0x275f9ea87404b6ed96eade547f0acc71d55ab309,2,0,2,100
0x2786963878fb87e7101308f43613837ed54529d2,1,0,1,100
0x278a9377dbeb736bf5a224126ed062c67c6e12fc,1,0,1,100
0x27ae267b899bd2fc47e97f789c744e7fbf5e1cb1,8,0,8,100
0x27fea46a70f7aebfb0c8c59455ee4ce2af76257d,1,1,2,50
0x2809f5f24938afc60ee23dfb92e7438af87462ba,4,0,4,100
0x281fb0df1e708ee20c03412c08cc80e1f0dd46b4,4,0,4,100
0x283de20e761ed7e5c57c32ede4220c3e003d13eb,2,0,2,100
0x283e73a799ad329099a35693141b60efb558f8b3,14,0,14,100
0x2853855871cc902a37852af3e506a1777d527520,0,1,1,0
0x28819d8e31e4d5d3fdeaabb1c71cd6b68961f79f,1,0,1,100
0x28fe34586d541f5f8403e827b8fb383046b615e5,1,0,1,100
0x2914a01be29a7f726052ecb3381d52de02d6a302,6,0,6,100
0x295c4df976c84bc378ee2fe8fba7bfbe1541d225,0,1,1,0
0x2985559c2751bd80c0f5df3a3328aa9a6f4f7974,8,0,8,100
0x29ad2ad28abdabb877e5572b57219a594e21ebec,3,0,3,100
0x29fbcc89d69a23b4876f63ca87982770270cdc0e,1,1,2,50
0x2a81007b748d75bd9cc685dcb8b216e14a9b98b4,3,0,3,100
0x2aa32ef946c4b15de8c81d1387bbe0a933b6b948,46,0,46,100
0x2acb34d37c2a52b51d71d840410d525809c95ebd,1,0,1,100
0x2aebc247043132390096e576c3f33086fef82aff,6,0,6,100
0x2afc032aaf6d7ead33fb05f9d42d874874dfb9d1,4,0,4,100
0x2b0eaf2c46008cfc146d9a12f54e412c47816d0b,2,0,2,100
0x2b1bbf7a8f80e0a51edb6c4b127a67c22c010376,19,0,19,100
0x2b23d84af36f72bbb48523fbe2b3219e4ab8b780,1,0,1,100
0x2b6f7b6112ed281f8b5a5767876602d48d549f54,3,0,3,100
0x2b83da50c013c6e5753c76e5b6aea4252ecea9f7,1,0,1,100
0x2b9d54e060a0592ae669acb30d5c155a4f363ca2,1,0,1,100
0x2bc4848d787512d79ce71739d93638067e2a5161,2,0,2,100
0x2c33c5d40150349700108d557116275968d7859c,1,0,1,100
0x2c88828b02c624ec820b4c07ff41c2b3a3db543b,0,0,0,0
0x2ca089cad105eabc7295793aa8a24a9c227e6e47,2,0,2,100
0x2cd5cafc209d57468d0bd3e80061b40adc498746,1,0,1,100
0x2cd62f8a1b150ba6ead3e95f15ce89c2f34a7be9,2,0,2,100
0x2cf1dae5e529f3025d5d0036d59da06a024fb706,2,0,2,100
0x2d22d9294d4e09036df2588422e61f70ed469963,1,0,1,100
0x2d2a542cbe65a85ad3ccc7300922262efdfb6f8e,12,0,12,100
0x2d3542bfb49123aa754e5095e241b01c56bf8073,3,0,3,100
0x2d4888499d765d387f9cbc48061b28cde6bc2601,5,0,5,100
0x2d78d0fb34ca385a59d39d98702039cf7fc05137,1,0,1,100
0x2dc867c6ce49de32c2aff156d9ba82bd1aa9930f,393,0,393,100
0x2ddc842ce54866d6ff58f5f82c6fb838e6a74cd3,4,0,4,100
0x2e00830b4fb93e66023aeba548544bcd7dcc893b,4,0,4,100
0x2e02f7b08d51c196f1161a137e09036611dd4c78,13,0,13,100
0x2e27127e82c991fde0cd1744d2376dfbfe585d75,4,0,4,100
0x2e3d82873bfefd7c3c4ec0bd3d1a7e2efe439e4a,14,0,14,100
0x2e9b5cf2d8f72803aaec751938fc5105b10d5283,8,0,8,100
0x2eafec183d06d88ddc60b35a4e0425104d11b127,2,0,2,100
0x2fb22cca8cfa26197ea6ce1963d8b46c135fece3,7,0,7,100
0x2ffe8d454e68f6a4e778f8a2eb09a62d2aca610e,4,0,4,100
0x300406cc11ec10d55c1d2d9448e77fba8e4d2d8f,1,0,1,100
0x303fc875d1fc3126b1ba0b011eab69a506c50a67,1,0,1,100
0x306782345ff026a75f3003c957030e57071e9f38,9,0,9,100
0x30b3247e2cefcda180c69bba625bebc57da2db58,1,0,1,100
0x30eee872d726f67bff16cbee364d66139dd5f6a1,0,0,0,0
0x3123ae90a45d6c55dbbc16ef2d2505a67576e309,4,0,4,100
0x314686cdcff77c6b7878d3584e34fed3ec76af50,1,0,1,100
0x31a24a5f32e92963b57f95f85b276f6145be575f,0,0,0,0
0x31f2b32d20377345ae1f5fd789cb233eb4a31c91,0,3,3,0
0x3236cf4026c25142848261ae3857e901a98a1e04,2,0,2,100
0x32371b624fad61fcc122813ac42ec6f8639f7fb4,12,0,12,100
0x32424d9a40a41f8ed60b388fce76dcdc1c4fe841,1,0,1,100
0x3270607f8870ae8df22d1e2640de843288616422,0,4,4,0
0x3274d89c5c27c33bf44ff44c027a6f986e4e7bd8,3,0,3,100
0x327a4ff3d5ccf2db24c7e57abef61365eec18d39,1,0,1,100
0x32d1cf009bf34f9e2bc53f86e8dced57e10fbdec,11,0,11,100
0x333121b9a50b4adc22fc74955a0cf54c051a4eae,1,0,1,100
0x333a9bcaa5b9e48d72f43032f99ed54aa572a60d,0,3,3,0
0x337ab2c4e48b8b65da792c22665282184f9e5aa8,2,0,2,100
0x337cc1812715ef4bd5562bbcec28ab84e8670dce,1,0,1,100
0x33bd7e2d0fba88940fac57091d09ba8e9982960e,1,0,1,100
0x33cbf3464813a5301dfb184ce7a2502ad3b9e86d,12,0,12,100
0x33d3e21b0bed187b8371ac40696f7349fe730398,1,0,1,100
0x34727927365b8430074718af03a01a9ffc77a696,3,0,3,100
0x349354be06ce5a4875ee3faa0e84fd1f2178c5e0,0,0,0,0
0x34966114f9fb465a5433c8b6b5e815f58a92421b,11,0,11,100
0x34b4e20b145955bfb893c580584e815f52567620,13,0,13,100
0x34bdc44a9141348d3b32f2b551a9133215d51c78,9,0,9,100
0x34d6b018874ae23222b96791a54de46466f53044,2,0,2,100
0x34d8a6015bd8e70fb7059a6d2854ccb010cb4222,0,0,0,0
0x34e6db0593c49438b286d45f572a599afec7fdde,3,0,3,100
0x34f2ac0dd90b768b382e981e50312333a7a1a69d,7,0,7,100
0x356c713ba21730dbed6622db7e048a1a21d6e08e,2,0,2,100
0x35be86e0ce28ea4d87ddd0328d04b1bd86f0b31f,0,0,0,0
0x35d3ae1e771a0f7d24e9b5b1370be19341e7d04a,1,0,1,100
0x35f34185f753d5fef739d46dba7a26b2bd88c83d,3,0,3,100
0x35f3ad72bc46de29500a0d141f9d08c843862b7b,1,0,1,100
0x3606976859a0771904dbb747eced66ef5d0e923b,1,0,1,100
0x3621fd0db8dabc21d522851de01114cf82b7c21f,12,0,12,100
0x363085d9ebc20715fc61c3337f293b7940529e1f,6,0,6,100
0x363403398aa1d2cf50f80aabca13ce80d1f72a64,7,0,7,100
0x363f325180dfc46899d6bb43be23206258255295,1,0,1,100
0x3673cf19b6efb296e29d9b07666e9625ed63cfe1,12,0,12,100
0x3681b0d7dfbf033065cbe2c418ac304de028a89d,1,0,1,100
0x36950339225bca950f50eb540fe42f419c6e6812,1,0,1,100
0x36af13e2188bcf041250231df380b828bf43aed2,0,0,0,0
0x3702345d0f44cf3451cb3f71f792529eb6b4f72a,5,0,5,100
0x3704ef69d0956d8cd4bcf558f3c7e6cebb9323ef,1,0,1,100
0x370ee840dde9d938b56c4221c2b335932a38e3a4,2,0,2,100
0x374056252e9599529ff960635c25bb7a5d06d437,1,0,1,100
0x376b79f67d2d99c863ca4846830379f0088284a0,6,0,6,100
0x378bde8b897d64f4047189c3f8b689008a560bad,8,0,8,100
0x3793f2ff1b0f04010df3f0821b94171d4199229e,5,0,5,100
0x37ebec4cfa5ea22de31810512ef8997f1906f973,3,0,3,100
0x37f879d7c4a23778b252fad5194717b924f8c97d,1,0,1,100
0x37fbcd47afd7b5c2a020c9cae9594fe9bd8b6f1a,1,0,1,100
0x384582ce938903395c7070fa3f8a3a3a02217823,8,0,8,100
0x38a55929d4047ac9192de1be35f9a957e4d03fa7,19,0,19,100
0x38cffab8dbbbf5a0f2eca2ec8924edf41535d340,2,0,2,100
0x39a34314bde4a59a96657714085abf01004ffbd2,0,0,0,0
0x39d23ab0372ac821e4f7ba1d1add6e687c157329,1,0,1,100
0x3a280a9f96c20d1c9a221d05be2b4fad3f506cda,5,0,5,100
0x3a299bb5aa19b1b35d14a5f2e556ba8a0c17fd2f,2,0,2,100
0x3a8038040a1e8f89f9ec61fcfd6d10666b62805f,1,0,1,100
0x3aa514a58ce82e4bace0e8e26b0873cbf63678d5,2,0,2,100
0x3aad1a7c11eb24a9ffea2e8553e8402cead7f278,5,0,5,100
0x3ba3ff3630adf6c0ef849b97987dbda7ff35e9d7,4,0,4,100
0x3bc1a8d4eae6791a9c9efba19d6bef122e050e0b,3,0,3,100
0x3c9ce85dfa1fb92fd440a99dfb8e00a831555227,4,0,4,100
0x3ce01a2c63de68f729159dd800268621b3e72468,2,0,2,100
0x3cfc7d3820be04def9b62632595732d517000198,2,0,2,100
0x3d094b41db63a80ca0a3cdce40f347c6d01eebe4,1,0,1,100
0x3d1e417499ed11f40125ece4f545b4ed6652a80b,1,0,1,100
0x3d94b660d4ea004776dcdb7f7e46fd67daed19e7,1,0,1,100
0x3db5743b936cb7280fdd475562b0942e31843337,5,0,5,100
